model_id,model,condition,training_seed,field,mean,n_episode_blocks,n_decisions
B2_gat,B2,outage_60s,43,action_row_request_def_m,0.003761445672308895,24,901
B2_gat,B2,outage_60s,44,action_row_request_def_m,-0.006295033420763772,24,822
H5_gat_degraded,D30,clean,42,action_row_request_def_m,-0.00498057007951593,24,840
H5_gat_degraded,D30,clean,43,action_row_request_def_m,0.0036526965312102255,24,721
H5_gat_degraded,D30,clean,44,action_row_request_def_m,-0.011603762110811858,24,795
H5_gat_degraded,D30,outage_60s,42,action_row_request_def_m,-0.004830432936146895,24,838
H5_gat_degraded,D30,outage_60s,43,action_row_request_def_m,0.003620159707038946,24,717
H5_gat_degraded,D30,outage_60s,44,action_row_request_def_m,-0.011490518129329884,24,794
B2_gat,B2,clean,42,action_row_request_gap_m,0.000186821654423808,24,636
B2_gat,B2,clean,43,action_row_request_gap_m,0.006386540518814384,24,906
B2_gat,B2,clean,44,action_row_request_gap_m,6.296799845694017e-05,24,821
B2_gat,B2,outage_60s,42,action_row_request_gap_m,0.00021030773049837107,24,631
B2_gat,B2,outage_60s,43,action_row_request_gap_m,0.006452725835161513,24,901
B2_gat,B2,outage_60s,44,action_row_request_gap_m,7.02635765937765e-05,24,822
H5_gat_degraded,D30,clean,42,action_row_request_gap_m,6.725817194041732e-06,24,840
H5_gat_degraded,D30,clean,43,action_row_request_gap_m,0.007307155710588407,24,721
H5_gat_degraded,D30,clean,44,action_row_request_gap_m,8.009058215807255e-05,24,795
H5_gat_degraded,D30,outage_60s,42,action_row_request_gap_m,-0.00010731595486322855,24,838
H5_gat_degraded,D30,outage_60s,43,action_row_request_gap_m,0.007232695776318296,24,717
H5_gat_degraded,D30,outage_60s,44,action_row_request_gap_m,6.446675289578626e-05,24,794
