model_id,model,k,expected_random_overlap,attention_loo_agreement,n_decisions
B2_gat,GAT,1,0.21930721181147073,0.1839863713798978,1174
B2_gat,GAT,2,0.4082907438955139,0.2891822827938671,1174
B2_gat,GAT,3,0.6021578648495173,0.4741624077228847,1174
H5_gat_degraded,GAT-Outage,1,0.2405128205128205,0.152991452991453,1170
H5_gat_degraded,GAT-Outage,2,0.42982905982905983,0.26153846153846155,1170
H5_gat_degraded,GAT-Outage,3,0.6255555555555554,0.43789173789173785,1170
