model_id,model,condition,training_seed,field,mean,n_episode_blocks,n_decisions
B2_gat,GAT,clean,43,taxi_attention_loo_spearman,-0.030520903773239183,9,116
B2_gat,GAT,clean,44,taxi_attention_loo_spearman,0.04586667048435364,9,118
B2_gat,GAT,clean,45,taxi_attention_loo_spearman,0.12505819031835666,9,117
B2_gat,GAT,clean,46,taxi_attention_loo_spearman,0.0057006411265598305,9,117
B2_gat,GAT,outage_60s,42,taxi_attention_loo_spearman,0.05897176867510271,9,116
B2_gat,GAT,outage_60s,43,taxi_attention_loo_spearman,-0.05366812692046233,9,116
B2_gat,GAT,outage_60s,44,taxi_attention_loo_spearman,0.06497718959487277,9,118
B2_gat,GAT,outage_60s,45,taxi_attention_loo_spearman,0.18024189550206182,9,117
B2_gat,GAT,outage_60s,46,taxi_attention_loo_spearman,-0.025083389657470954,9,117
H5_gat_degraded,GAT-Outage,clean,42,taxi_attention_loo_spearman,-0.035404607711115914,9,117
H5_gat_degraded,GAT-Outage,clean,43,taxi_attention_loo_spearman,-0.07601739046846512,9,114
H5_gat_degraded,GAT-Outage,clean,44,taxi_attention_loo_spearman,-0.06454849206066303,9,118
H5_gat_degraded,GAT-Outage,clean,45,taxi_attention_loo_spearman,-0.0190384571745827,9,115
H5_gat_degraded,GAT-Outage,clean,46,taxi_attention_loo_spearman,0.08280414077114798,9,116
H5_gat_degraded,GAT-Outage,outage_60s,42,taxi_attention_loo_spearman,-0.022429619736127938,9,117
H5_gat_degraded,GAT-Outage,outage_60s,43,taxi_attention_loo_spearman,-0.06871265816373283,9,114
H5_gat_degraded,GAT-Outage,outage_60s,44,taxi_attention_loo_spearman,-0.049674477186648185,9,118
H5_gat_degraded,GAT-Outage,outage_60s,45,taxi_attention_loo_spearman,0.0032396758599002764,9,115
H5_gat_degraded,GAT-Outage,outage_60s,46,taxi_attention_loo_spearman,0.058805649053523874,9,116
B2_gat,GAT,clean,42,self_row_request_def_m,-0.0016572410193480963,9,90
B2_gat,GAT,clean,43,self_row_request_def_m,-0.0013179335856866705,9,105
B2_gat,GAT,clean,44,self_row_request_def_m,-0.0014271804507232277,9,100
B2_gat,GAT,clean,45,self_row_request_def_m,8.49892790428896e-05,9,98
B2_gat,GAT,clean,46,self_row_request_def_m,-0.0015218838591388774,9,97
B2_gat,GAT,outage_60s,42,self_row_request_def_m,-0.0013595551577782609,9,90
B2_gat,GAT,outage_60s,43,self_row_request_def_m,-0.0011354149015342459,9,105
B2_gat,GAT,outage_60s,44,self_row_request_def_m,-0.0012840548868336991,9,100
B2_gat,GAT,outage_60s,45,self_row_request_def_m,2.168028176649014e-05,9,97
B2_gat,GAT,outage_60s,46,self_row_request_def_m,-0.0010869648536177999,9,97
H5_gat_degraded,GAT-Outage,clean,42,self_row_request_def_m,-0.0015007200633390908,9,100
H5_gat_degraded,GAT-Outage,clean,43,self_row_request_def_m,-0.006714722575572195,9,115
H5_gat_degraded,GAT-Outage,clean,44,self_row_request_def_m,-0.0006745201533196002,9,91
H5_gat_degraded,GAT-Outage,clean,45,self_row_request_def_m,-2.9199134992944445e-05,9,102
H5_gat_degraded,GAT-Outage,clean,46,self_row_request_def_m,-0.004121753046295358,9,107
H5_gat_degraded,GAT-Outage,outage_60s,42,self_row_request_def_m,-0.0013581040942869213,9,100
H5_gat_degraded,GAT-Outage,outage_60s,43,self_row_request_def_m,-0.0055304251812748825,9,115
H5_gat_degraded,GAT-Outage,outage_60s,44,self_row_request_def_m,-0.0004239323343627207,9,91
H5_gat_degraded,GAT-Outage,outage_60s,45,self_row_request_def_m,-0.0001320013514335817,9,102
H5_gat_degraded,GAT-Outage,outage_60s,46,self_row_request_def_m,-0.004075575111751185,9,107
B2_gat,GAT,clean,42,action_row_request_def_m,-0.0016894941649512616,9,90
B2_gat,GAT,clean,43,action_row_request_def_m,0.0011900438007025065,9,105
B2_gat,GAT,clean,44,action_row_request_def_m,-0.0012479460392467957,9,100
B2_gat,GAT,clean,45,action_row_request_def_m,-0.0002593361249727913,9,98
B2_gat,GAT,clean,46,action_row_request_def_m,-0.0006489831415735929,9,97
B2_gat,GAT,outage_60s,42,action_row_request_def_m,-0.0013825964424010319,9,90
B2_gat,GAT,outage_60s,43,action_row_request_def_m,0.0011077321610604282,9,105
B2_gat,GAT,outage_60s,44,action_row_request_def_m,-0.001101830754566433,9,100
B2_gat,GAT,outage_60s,45,action_row_request_def_m,-0.00023446743868385902,9,97
B2_gat,GAT,outage_60s,46,action_row_request_def_m,-0.0005799946654027833,9,97
H5_gat_degraded,GAT-Outage,clean,42,action_row_request_def_m,0.00013435776678225047,9,100
H5_gat_degraded,GAT-Outage,clean,43,action_row_request_def_m,0.0009480220098388215,9,115
H5_gat_degraded,GAT-Outage,clean,44,action_row_request_def_m,-0.0007286959026843257,9,91
H5_gat_degraded,GAT-Outage,clean,45,action_row_request_def_m,-0.0002468564186052552,9,102
H5_gat_degraded,GAT-Outage,clean,46,action_row_request_def_m,0.0034504118420784543,9,107
H5_gat_degraded,GAT-Outage,outage_60s,42,action_row_request_def_m,0.00014772334423674883,9,100
H5_gat_degraded,GAT-Outage,outage_60s,43,action_row_request_def_m,0.0008369678018951188,9,115
H5_gat_degraded,GAT-Outage,outage_60s,44,action_row_request_def_m,-0.0004775363770748838,9,91
H5_gat_degraded,GAT-Outage,outage_60s,45,action_row_request_def_m,-0.00020048183031771996,9,102
H5_gat_degraded,GAT-Outage,outage_60s,46,action_row_request_def_m,0.003503808009972067,9,107
B2_gat,GAT,clean,42,action_row_request_gap_m,-3.2253145603165014e-05,9,90
B2_gat,GAT,clean,43,action_row_request_gap_m,0.002507977386389177,9,105
B2_gat,GAT,clean,44,action_row_request_gap_m,0.00017923441147643218,9,100
B2_gat,GAT,clean,45,action_row_request_gap_m,-0.0003443254040156809,9,98
B2_gat,GAT,clean,46,action_row_request_gap_m,0.0008729007175652846,9,97
B2_gat,GAT,outage_60s,42,action_row_request_gap_m,-2.3041284622771114e-05,9,90
B2_gat,GAT,outage_60s,43,action_row_request_gap_m,0.002243147062594674,9,105
B2_gat,GAT,outage_60s,44,action_row_request_gap_m,0.00018222413226726597,9,100
B2_gat,GAT,outage_60s,45,action_row_request_gap_m,-0.0002561477204503492,9,97
B2_gat,GAT,outage_60s,46,action_row_request_gap_m,0.0005069701882150164,9,97
H5_gat_degraded,GAT-Outage,clean,42,action_row_request_gap_m,0.0016350778301213412,9,100
H5_gat_degraded,GAT-Outage,clean,43,action_row_request_gap_m,0.0076627445854110165,9,115
H5_gat_degraded,GAT-Outage,clean,44,action_row_request_gap_m,-5.417574936472549e-05,9,91
H5_gat_degraded,GAT-Outage,clean,45,action_row_request_gap_m,-0.00021765728361231073,9,102
H5_gat_degraded,GAT-Outage,clean,46,action_row_request_gap_m,0.007572164888373813,9,107
H5_gat_degraded,GAT-Outage,outage_60s,42,action_row_request_gap_m,0.00150582743852367,9,100
H5_gat_degraded,GAT-Outage,outage_60s,43,action_row_request_gap_m,0.006367392983170001,9,115
H5_gat_degraded,GAT-Outage,outage_60s,44,action_row_request_gap_m,-5.360404271216319e-05,9,91
H5_gat_degraded,GAT-Outage,outage_60s,45,action_row_request_gap_m,-6.848047888413826e-05,9,102
H5_gat_degraded,GAT-Outage,outage_60s,46,action_row_request_gap_m,0.007579383121723253,9,107
