model,training_seeds,stale_attention_shift_mean,stale_attention_shift_min,stale_attention_shift_max,paired_probability_def_delta_mean,paired_probability_def_delta_min,paired_probability_def_delta_max,paired_margin_def_delta_mean,paired_margin_def_delta_min,paired_margin_def_delta_max,H1_rho_mean,H1_rho_min,H1_rho_max,H2_delta_mean,H2_delta_min,H2_delta_max,H3_rho_mean,H3_rho_min,H3_rho_max,H4_within_episode_rho_mean,H4_within_episode_rho_min,H4_within_episode_rho_max,positive_stale_attention_shift_seeds,negative_paired_probability_def_delta_seeds,H1_supported_seeds,H1_consistency,H2_supported_seeds,H2_consistency,H3_supported_seeds,H3_consistency,H4_supported_seeds,H4_consistency
B2_gat,3,0.0002663717410226624,-0.00348331690619128,0.004074168378777301,-2.625829991324442e-05,-8.386876164777113e-05,9.165933374698909e-06,-0.006110575898366607,-0.018112521634011336,0.00011109945534193202,-0.048082887182259094,-0.06903444383550432,-0.016824499662285317,0.19959395114621395,0.08818501856201694,0.26124518732287627,0.4267359119729813,0.38651461573881174,0.46160978032766464,-0.12502444672553625,-0.19898523287397693,-0.08386542304744589,2,2,2,mixed,1,mixed,3,consistent,3,consistent
H5_gat_degraded,3,0.0006318161380384642,-0.003038083455772013,0.003974616975794014,-6.520096333552068e-06,-2.5329257761364652e-05,1.718203315837338e-05,-0.0022258005034833093,-0.006470069291303396,0.0002861383358829835,-0.10994529920319444,-0.16392759439124277,-0.024530221678139567,0.3331604669190191,0.25710305433646535,0.37632573212931975,0.42577710180616396,0.404966120000696,0.44415885812758693,-0.3484823638605797,-0.4227201814079821,-0.21165570259262376,2,2,3,consistent,3,consistent,3,consistent,3,consistent
