model,training_seed,evaluation_seeds,episodes,mean_pickups,mean_reward
B1_mlp,42,8,24,12.833333333333334,110.56287499999999
B1_mlp,43,8,24,13.875,106.585375
B1_mlp,44,8,24,14.166666666666668,110.669625
B2_gat,42,8,24,13.708333333333332,108.7675
B2_gat,43,8,24,9.416666666666668,85.28958333333334
B2_gat,44,8,24,11.791666666666668,102.34625
H5_gat_degraded,42,8,24,11.791666666666666,103.716125
H5_gat_degraded,43,8,24,14.583333333333334,121.207
H5_gat_degraded,44,8,24,12.541666666666668,106.39191666666667
