model,training_seeds,stale_attention_shift_mean,stale_attention_shift_min,stale_attention_shift_max,H1_rho_mean,H1_rho_min,H1_rho_max,H2_delta_mean,H2_delta_min,H2_delta_max,H3_rho_mean,H3_rho_min,H3_rho_max,H4_within_episode_rho_mean,H4_within_episode_rho_min,H4_within_episode_rho_max,positive_stale_attention_shift_seeds,H1_supported_seeds,H1_consistency,H2_supported_seeds,H2_consistency,H3_supported_seeds,H3_consistency,H4_supported_seeds,H4_consistency
B2_gat,3,0.0006819345238095239,-0.0012783494543650794,0.0027062487599206347,0.00382481499656713,-0.0027460073684350333,0.015582958645936198,-23.770870443458573,-71.32830791569346,0.01081179793653573,0.09230006168661194,0.08209211569363897,0.10494561070415592,0.05161895378301672,0.03628967114251238,0.06867782805497681,2,0,not_supported,0,not_supported,3,consistent,0,not_supported
H5_gat_degraded,3,0.0006420641809964727,-0.0012308932705026455,0.0023744618055555554,0.00039894619164888064,-0.000893304818859733,0.00208588456532057,-0.007561820750915604,-0.027867009679539312,0.0030982140934591677,0.09211098312717499,0.0775308619209438,0.12064817807067146,-0.04465045605437982,-0.07235984812559558,-0.0006333936313132639,2,0,not_supported,0,not_supported,3,consistent,2,mixed
