model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,mean_type_matched_def,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary
B2_gat,42,clean,0.0,8,14.666666666666668,0.0,2184,0,-6.603773584905661e-07,0.0005227848101265823,0.0,,,,,
B2_gat,42,outage_duration,10.0,8,14.666666666666668,0.0019958333333333334,2184,28,-6.603773584905661e-07,0.0005227848101265823,2.747252747252747e-07,0.17877142857142855,0.15135357142857142,0.0017678571428571426,0.9642857142857143,0.0298
B2_gat,42,outage_duration,20.0,8,14.75,0.004,2178,34,-5.203405865657521e-07,0.00044871794871794866,5.509641873278237e-07,0.17757941176470587,0.14565294117647057,0.002147058823529412,0.9411764705882353,0.03465882352941177
B2_gat,42,outage_duration,30.0,8,14.75,0.005875,2178,60,-5.203405865657521e-07,0.00042051282051282045,1.652892561983471e-06,0.1801366666666667,0.14122499999999996,0.003384999999999999,0.9333333333333333,0.05941166666666667
B2_gat,42,outage_duration,60.0,8,14.5,0.011854166666666666,2163,96,1.429252024773702e-07,0.00048133333333333345,4.299583911234397e-06,0.17911875,0.13065208333333334,0.004433333333333333,0.90625,0.08791041666666666
B2_gat,43,clean,0.0,8,13.75,0.0,2399,0,-0.00011109207708779441,0.005466666666666666,0.0,,,,,
B2_gat,43,outage_duration,10.0,8,13.75,0.0016583333333333333,2399,28,-0.00011109207708779441,0.005466666666666666,0.0,0.1358892857142857,0.09879285714285714,0.0006214285714285715,0.8571428571428571,0.022675000000000004
B2_gat,43,outage_duration,20.0,8,13.75,0.0033041666666666666,2399,36,-0.00011113490364025697,0.005466666666666666,4.1684035014589414e-07,0.13989166666666664,0.09424722222222223,3.333333333333332e-05,0.7222222222222222,0.029033333333333338
B2_gat,43,outage_duration,30.0,8,13.75,0.004954166666666667,2399,60,-0.00011113490364025697,0.005466666666666666,9.587328053355565e-07,0.14706499999999997,0.09210166666666665,0.000375,0.5666666666666667,0.04893333333333334
B2_gat,43,outage_duration,60.0,8,13.916666666666668,0.0090875,2409,83,-0.00011283582089552236,0.0054125,2.03403902034039e-06,0.1487,0.08730963855421686,0.0005819277108433734,0.40963855421686746,0.07063975903614456
B2_gat,44,clean,0.0,8,11.458333333333334,0.0,2997,0,-3.7981588816911015e-05,0.0068815384615384615,0.0,,,,,
B2_gat,44,outage_duration,10.0,8,11.458333333333334,0.0016083333333333334,2997,30,-3.808387316740539e-05,0.0068815384615384615,3.33667000333667e-07,0.17658000000000001,0.15368333333333337,-0.00084,0.13333333333333333,0.02941333333333333
B2_gat,44,outage_duration,20.0,8,11.458333333333334,0.0032083333333333334,2997,36,-3.8152062734401634e-05,0.0068815384615384615,6.339673006339673e-07,0.17143333333333335,0.1467388888888889,-0.0011277777777777781,0.1388888888888889,0.03260555555555556
B2_gat,44,outage_duration,30.0,8,11.416666666666668,0.004820833333333333,2995,62,-3.8178096212896624e-05,0.006966153846153847,7.345575959933221e-07,0.17369032258064515,0.1437564516129032,-0.0016016129032258063,0.0967741935483871,0.05600322580645162
B2_gat,44,outage_duration,60.0,8,11.458333333333334,0.009295833333333333,2997,87,-3.8458915785884764e-05,0.006904615384615384,1.1344678011344678e-06,0.17302298850574713,0.13723218390804598,-0.002370114942528736,0.16091954022988506,0.07719885057471265
H5_gat_degraded,42,clean,0.0,8,12.875,0.0,1427,0,2.0763022743947175e-05,-0.00114367816091954,0.0,,,,,
H5_gat_degraded,42,outage_duration,10.0,8,12.875,0.002375,1427,26,2.0763022743947175e-05,-0.001162068965517241,0.0,0.1802230769230769,0.15663076923076918,0.0014153846153846154,1.0,0.030038461538461538
H5_gat_degraded,42,outage_duration,20.0,8,12.958333333333334,0.004754166666666667,1424,31,2.073529411764706e-05,-0.001128735632183908,0.0,0.18052903225806446,0.15565806451612899,0.0016354838709677418,1.0,0.03498709677419355
H5_gat_degraded,42,outage_duration,30.0,8,12.916666666666668,0.006975,1430,54,2.108345534407028e-05,-0.0011952380952380951,8.39160839160839e-07,0.1792703703703703,0.14710555555555554,0.0028518518518518506,0.9629629629629629,0.05790185185185184
H5_gat_degraded,42,outage_duration,60.0,8,12.833333333333332,0.0126625,1434,85,2.051094890510949e-05,-0.0011305882352941176,2.719665271966527e-06,0.18031999999999998,0.13614117647058824,0.0038788235294117644,0.9529411764705882,0.09000705882352943
H5_gat_degraded,43,clean,0.0,8,11.25,0.0,2917,0,0.00015415352260778127,-0.005810204081632653,0.0,,,,,
H5_gat_degraded,43,outage_duration,10.0,8,11.25,0.0014166666666666668,2908,29,0.0001571026722925457,-0.005978,0.0,0.16423793103448273,0.11845172413793102,0.0006206896551724138,0.8275862068965517,0.027358620689655173
H5_gat_degraded,43,outage_duration,20.0,8,11.25,0.002816666666666667,2908,32,0.00015755977496483825,-0.005978,0.0,0.164659375,0.1167375,0.00069375,0.8125,0.030068749999999998
H5_gat_degraded,43,outage_duration,30.0,8,11.25,0.0041875,2908,59,0.00015773558368495076,-0.005978,0.0,0.16573728813559319,0.10655762711864407,0.0008830508474576271,0.576271186440678,0.054528813559322035
H5_gat_degraded,43,outage_duration,60.0,8,11.041666666666666,0.007995833333333334,2885,77,0.00015700106345267634,-0.006076923076923077,0.0,0.16657662337662338,0.0994038961038961,0.0010233766233766232,0.44155844155844154,0.0740064935064935
H5_gat_degraded,44,clean,0.0,8,4.541666666666666,0.0,3820,0,7.987220447284345e-08,0.001966666666666667,0.0,,,,,
H5_gat_degraded,44,outage_duration,10.0,8,4.541666666666666,0.0012125,3820,32,7.987220447284345e-08,0.001966666666666667,0.0,0.183103125,0.15664375000000003,-0.0005375,0.0625,0.03050625
H5_gat_degraded,44,outage_duration,20.0,8,4.541666666666666,0.0024458333333333333,3820,38,7.987220447284345e-08,0.001966666666666667,2.094240837696335e-07,0.17768684210526317,0.14837105263157896,-0.0009026315789473685,0.10526315789473684,0.03352368421052632
H5_gat_degraded,44,outage_duration,30.0,8,4.541666666666666,0.0036458333333333334,3820,68,7.987220447284345e-08,0.001966666666666667,3.926701570680628e-07,0.17598823529411764,0.14304411764705882,-0.0015985294117647057,0.07352941176470588,0.05707205882352941
H5_gat_degraded,44,outage_duration,60.0,8,4.583333333333333,0.007245833333333333,3818,97,7.991475759190198e-08,0.0019800000000000004,8.643268727082241e-07,0.1714443298969072,0.1341041237113402,-0.002527835051546392,0.09278350515463918,0.08061546391752576
