model,training_seed,full_clean_def_mean,full_outage60_def_mean,full_h1_rho,full_h1_ci_low,full_h1_ci_high,full_h1_holm_p,full_paired_def_mean,full_paired_def_ci_low,full_paired_def_ci_high,full_h4_mean_rho,full_h4_holm_p,rounded4_clean_def_mean,rounded4_outage60_def_mean,rounded4_h1_rho,rounded4_h1_ci_low,rounded4_h1_ci_high,rounded4_h1_holm_p,rounded4_paired_def_mean,rounded4_paired_def_ci_low,rounded4_paired_def_ci_high,rounded4_h4_mean_rho,rounded4_h4_holm_p,h1_rho_direction_changed,paired_def_mean_direction_changed,h4_mean_rho_direction_changed,h1_verdict_changed,h2_verdict_changed,h3_verdict_changed,h4_verdict_changed
B2_gat,42,-0.00028994910773776837,-9.889739659930957e-05,0.08099938495257494,0.04121780504786969,0.12113538159269054,1.0,6.533294015345486e-05,4.6035066765584125e-05,8.716949898613914e-05,0.15377711751733572,1.0,-0.00029396825396825395,-0.00010060652009097802,0.08748337914183692,0.047217637146369826,0.127247185773708,1.0,7.099732247749846e-05,5.206210493756493e-05,9.260290683225258e-05,0.1631783120990854,1.0,False,False,False,False,False,False,False
B2_gat,43,-0.00023811985325964167,-7.648438468638826e-05,0.09929785071685834,0.05834132172540048,0.1403005768397909,1.0,0.00012248764552761631,0.00010971139499257906,0.00013415991074269257,0.28672966007263156,1.0,-0.00024050632911392405,-7.531882970742685e-05,0.09948883952394404,0.058733471595463105,0.14013168315843205,1.0,0.00012544595223622226,0.00011258958106677841,0.0001370011287985499,0.3068507555161599,1.0,False,False,False,False,False,False,False
B2_gat,44,-0.00027416555574105174,-0.0001237728976838079,0.0572910357082184,0.019251305550218683,0.09527290812895386,1.0,8.192883218414319e-05,7.469356933343903e-05,8.9100305567132e-05,0.19563665645395265,1.0,-0.0002732704402515723,-0.0001240657698056801,0.055670308219280665,0.01763180628627868,0.09353416179015724,1.0,8.506065338499939e-05,7.809353167854051e-05,9.209732295806713e-05,0.1875880165140024,1.0,False,False,False,False,False,False,False
B2_gat,45,4.35488310250096e-05,6.716380769312909e-06,-0.03854444621497059,-0.07074638525881598,-0.006028304317957169,0.007799220077992201,-7.524958366670226e-06,-1.0388307779972587e-05,-4.798340838545011e-06,-0.06298203887528847,0.0005999400059994001,4.119496855345912e-05,5.459985041136873e-06,-0.036704698855864526,-0.06887463729913404,-0.0043066587982113075,0.0096990300969903,-1.055951396407291e-05,-1.3495870750370974e-05,-7.704703385321292e-06,-0.08926696224444813,0.00039996000399960006,False,False,False,False,False,False,False
B2_gat,46,-0.000303207919441698,-0.00011863307190869393,0.07597342532328692,0.03952595634508058,0.11419718767305591,1.0,8.27782751909019e-05,7.20415104562911e-05,9.403025498695128e-05,0.14035616100025095,1.0,-0.00030158227848101266,-0.000118188622754491,0.07539524079837932,0.04027588132078479,0.11357120720846127,1.0,8.621558353984318e-05,7.553416845243791e-05,9.72798261544615e-05,0.14502653068514038,1.0,False,False,False,False,False,False,False
H5_gat_degraded,42,-0.0003409015221728219,-3.68386190779944e-05,0.19776029297467146,0.16356948017514625,0.23365317140494407,1.0,9.652578464351766e-05,8.401351343176195e-05,0.00010946759817501,0.3827233815742462,1.0,-0.0003408805031446541,-3.670411985018726e-05,0.19861669984518288,0.16401624798615794,0.23476349697618334,1.0,9.966835288771431e-05,8.706703418079319e-05,0.00011296501828254938,0.3790025252366126,1.0,False,False,False,False,False,False,False
H5_gat_degraded,43,-0.0012686693756830975,-0.0008115494054831882,0.021851366218451462,-0.02765431379080001,0.07350596560588818,1.0,0.0001343963569263711,0.00011757071904436275,0.00015138252241856667,0.28285212559449874,1.0,-0.0012666666666666666,-0.0008113517550410754,0.021381441189673757,-0.027120639863771317,0.07182521752840584,1.0,0.000135099445983876,0.00011819059322733399,0.00015209205112385826,0.28810685606098657,1.0,False,False,False,False,False,False,False
H5_gat_degraded,44,-9.885928134748254e-05,8.907959624125519e-05,0.12300172146879912,0.09303541068956903,0.1543232334299645,1.0,0.0001618686365677494,0.00014588053670670784,0.0001774220554404152,0.27142869001799214,1.0,-9.591194968553458e-05,8.782148260211802e-05,0.12086689456075406,0.09081445888793371,0.1518921489168598,1.0,0.00016160897655695573,0.0001457381611681117,0.0001771659760441354,0.2825952796602642,1.0,False,False,False,False,False,False,False
H5_gat_degraded,45,4.084321085586914e-05,-3.324993948886418e-05,-0.11368203680287874,-0.14726337330250047,-0.08025614301170086,0.00039996000399960006,-4.4485266222339846e-05,-4.94170044379615e-05,-3.9806368498368346e-05,-0.15167520927012293,0.00039996000399960006,3.8801261829652994e-05,-3.5907046476761615e-05,-0.11280472444092889,-0.14641355088947616,-0.07956391287472636,0.00039996000399960006,-4.615077753095949e-05,-5.133550776055056e-05,-4.1213162083161495e-05,-0.15258957198081788,0.00039996000399960006,False,False,False,False,False,False,False
H5_gat_degraded,46,-0.0008233474786319429,-0.0005836309665648287,-0.03683046925859378,-0.06673231017808107,-0.005673708480725774,0.0494950504949505,3.8565333822080216e-06,-1.8978930870128324e-06,1.03101325037197e-05,-0.012372336105652222,0.5705429457054294,-0.0008219047619047618,-0.0005829562594268476,-0.033597453761549816,-0.06394164178227077,-0.0018300649719787776,0.08669133086691332,6.4553550145786875e-06,4.0514638379109024e-07,1.2981744006471523e-05,-0.017748368107270204,0.42075792420757924,False,False,False,True,False,False,False
