model,training_seed,stratum,n_records,n_clean_records,n_stale_exposed_records,fraction_of_eligible_records,mean_selected_action_probability,clean_probability_def_mean,clean_margin_def_mean,paired_probability_def_delta,paired_probability_def_ci_low,paired_probability_def_ci_high,paired_probability_def_blocks,paired_margin_def_delta,stale_attention_shift,H1_rho,H1_p_episode,H4_mean_within_episode_rho,H4_p_one_sided
B2_gat,42,all,3988,315,2538,1.0,0.33513998458817706,-0.00028994910773776837,-0.001081532057788637,6.533294015345486e-05,4.4621262904556075e-05,8.78543367090847e-05,176,0.00021871333262042165,0.004120772633852847,0.4187558138194727,1.0,0.15377711751733572,1.0
B2_gat,42,no_op,1188,66,891,0.2978936810431294,0.37487508873345476,0.00012870613824237474,0.0005814680095874902,-1.9333132092688315e-05,-3.0120232863816652e-05,-1.068500980028137e-05,174,-0.00010596738372575114,0.0042757438969644014,-0.06690390240713118,0.16398360163983602,-0.24621040613396916,0.00019998000199980003
B2_gat,42,dispatch,2800,249,1647,0.7021063189568706,0.3182809475436807,-0.0004009179681180472,-0.0015223272563702614,0.00010414435524205001,7.26764260632317e-05,0.00014328005974428997,176,0.0003705454459505707,0.0040623386618087,0.4229659108610212,1.0,0.2396043623932284,1.0
B2_gat,43,all,4021,316,2561,1.0,0.354896013815585,-0.00023811985325964167,-0.000891141694054825,0.00012248764552761631,0.00011007043488839199,0.00013410328042366693,176,0.00044813050334586556,0.0006189272117275917,0.46277046470838856,1.0,0.28672966007263156,1.0
B2_gat,43,no_op,863,43,664,0.21462322805272321,0.2794891566659733,2.2866282352181374e-05,0.0002348428259986316,-0.0002482801888523483,-0.0003374981239194496,-0.00017232633448947883,163,-0.0011091563555033859,0.0005866374913879585,-0.1525063801579951,0.015298470152984701,-0.15639505533530518,0.0164983501649835
B2_gat,43,dispatch,3158,273,1897,0.7853767719472768,0.37550276420194184,-0.0002792275596014306,-0.001068494567176798,0.0002345249337585476,0.00022456006386642954,0.00024441472302993793,176,0.000922531784771937,0.0006247665853774389,0.515885729404288,1.0,0.38663086644454014,1.0
B2_gat,44,all,4033,318,2563,1.0,0.3448101524924067,-0.00027416555574105174,-0.0010194819334667935,8.192883218414319e-05,7.498097592365338e-05,8.926925484276065e-05,176,0.00026950622259191867,-0.003509695073078578,0.3423786998131994,1.0,0.19563665645395265,1.0
B2_gat,44,no_op,981,52,743,0.24324324324324326,0.30844866100102514,0.00011202289890020322,0.0005972302160584011,-6.301361616035303e-05,-6.696439042635903e-05,-5.898912022214158e-05,167,-0.0003388563133229251,-0.003968731076179664,-0.2566125911787102,0.00019998000199980003,-0.4719344209199846,9.999000099990002e-05
B2_gat,44,dispatch,3052,266,1820,0.7567567567567568,0.35649777475749367,-0.00034966104311453026,-0.0013355309251032977,0.0001399098435718688,0.00013163449973605136,0.00014876488779690892,176,0.0005128820070642718,-0.003252046399324014,0.3775904205243321,1.0,0.38003123769525526,1.0
B2_gat,45,all,4029,318,2560,1.0,0.3413719030938068,4.35488310250096e-05,0.00018171736779202914,-7.524958366670226e-06,-1.0445341488610304e-05,-4.7514278223523245e-06,176,-2.657440178017661e-05,0.004132902289439266,-0.22917386825156275,9.999000099990002e-05,-0.06298203887528847,0.0004999500049995
B2_gat,45,no_op,1028,54,783,0.25515016133035495,0.3211721531858356,-3.516868124773474e-05,-0.00013003674922166042,-1.042173650971035e-06,-2.6891358591434276e-06,5.695540858075853e-07,167,5.1791485674730025e-06,0.004592137127814826,0.09369972580645221,0.9405059494050595,0.22097040101777632,1.0
B2_gat,45,dispatch,3001,264,1777,0.744849838669645,0.34829137757077927,5.9650140353525466e-05,0.00024548525536301105,-7.060084965232499e-06,-1.147228363069095e-05,-2.7876496433370916e-06,176,-2.5636742882562604e-05,0.003881212961946266,-0.28071566233597434,9.999000099990002e-05,-0.138116213776842,9.999000099990002e-05
B2_gat,46,all,4025,316,2566,1.0,0.33804918150353874,-0.000303207919441698,-0.001079757315134197,8.27782751909019e-05,7.146537599715841e-05,9.457008718552908e-05,176,0.0002796760392252468,0.0024117405014212013,0.37291253492261156,1.0,0.14035616100025095,1.0
B2_gat,46,no_op,1083,55,833,0.26906832298136646,0.3396822980098557,0.00017812134641589526,0.0008718524918411718,-1.6710822204510443e-05,-4.695227365362952e-05,1.5929260205515523e-05,169,-8.921888053142726e-05,0.0026540080952472955,-0.04601351147076776,0.25147485251474855,-0.21484729931286461,0.00029997000299970003
B2_gat,46,dispatch,2942,261,1733,0.7309316770186335,0.3374480036733752,-0.0004046374582239495,-0.0014910160867190449,0.00014426131405136653,0.00013570313564481706,0.00015271430477495248,176,0.0005187320525772536,0.0023882924529822266,0.42453938147250897,1.0,0.25580439311196873,1.0
H5_gat_degraded,42,all,4026,318,2555,1.0,0.3410583751686047,-0.0003409015221728219,-0.0012999284395506798,9.652578464351766e-05,8.415014570837634e-05,0.0001087002211630318,176,0.00035306106472753204,0.003585646124917767,0.6648551227027152,1.0,0.3827233815742462,1.0
H5_gat_degraded,42,no_op,1033,54,788,0.25658221559860905,0.3225531300091674,0.0001938837959810539,0.0009417170175799616,-4.162576377129521e-05,-4.7222761857767265e-05,-3.555068325964717e-05,167,-0.00023129217469576886,0.0037247197178900317,-0.3929992503671489,9.999000099990002e-05,-0.33988511071712674,9.999000099990002e-05
H5_gat_degraded,42,dispatch,2993,264,1767,0.743417784401391,0.3474452506279093,-0.000450289428158842,-0.0017584468285092199,0.00015403564201288408,0.0001389415364762247,0.00016903875820967573,176,0.0005963743675235469,0.0035214695142013713,0.7221379582074201,1.0,0.5328925800415877,1.0
H5_gat_degraded,43,all,3997,306,2587,1.0,0.45953360132543125,-0.0012686693756830975,-0.007273133050382527,0.0001343963569263711,0.00011835090620392064,0.0001515590346179325,176,0.0008366354467378462,-0.0007135832544122589,0.25434939803536777,1.0,0.28285212559449874,1.0
H5_gat_degraded,43,no_op,292,14,222,0.07305479109331998,0.12236535734152548,-0.0005569340306378545,-0.004264850417772929,-6.439280731996155e-05,-8.514704334386164e-05,-3.64701714964347e-05,107,-0.0002928592507589147,-0.0009837726320583596,-0.3319654890589346,9.999000099990002e-05,,
H5_gat_degraded,43,dispatch,3705,292,2365,0.92694520890668,0.4861066451157957,-0.0013027936730482805,-0.007417365779343262,0.00015659971443882307,0.0001393411506442277,0.00017609407984498984,176,0.000983471907765874,-0.0006687108179596499,0.2687657909352156,1.0,0.31711945764070487,1.0
H5_gat_degraded,44,all,4003,318,2538,1.0,0.33347214727499414,-9.885928134748254e-05,-0.00036318218315984713,0.0001618686365677494,0.0001459289205421871,0.0001784984774978257,176,0.0004989537528254091,-0.0026018245375523854,0.6676193278310045,1.0,0.27142869001799214,1.0
H5_gat_degraded,44,no_op,1265,73,935,0.316012990257307,0.3810063951335877,2.9929159166606044e-05,0.00014072693076375956,-0.00016194415110041467,-0.00016996777448099359,-0.0001548440749965455,174,-0.0007580355503677145,-0.0027811968313287763,-0.5646854722414409,9.999000099990002e-05,-0.6464886059470494,9.999000099990002e-05
H5_gat_degraded,44,dispatch,2738,245,1603,0.683987009742693,0.31151056088305806,-0.00013723297994963955,-0.0005133265313901463,0.0003537133338307901,0.0003361632757043685,0.00037143255304911523,176,0.0012530782949007441,-0.0025361081610163535,0.7231160615605071,1.0,0.6243891491362153,1.0
H5_gat_degraded,45,all,4025,317,2559,1.0,0.3498740499748947,4.084321085586914e-05,0.00017667759824877165,-4.4485266222339846e-05,-4.938500426722763e-05,-3.982061282246645e-05,176,-0.00016453863890247323,0.004026625151721004,-0.47569843946223433,9.999000099990002e-05,-0.15167520927012293,9.999000099990002e-05
H5_gat_degraded,45,no_op,925,49,701,0.22981366459627328,0.2931672350538744,-1.7281277041856953e-05,-5.209111437505601e-05,1.5734011376812905e-05,1.3981835983332457e-05,1.763839125730121e-05,164,9.998560528547215e-05,0.00479113237486015,0.206292466054049,0.9991000899910009,0.2599891778196628,0.9999000099990001
H5_gat_degraded,45,dispatch,3100,268,1858,0.7701863354037267,0.36679463184648947,5.147044931478174e-05,0.00021850471361656103,-6.456384905781722e-05,-7.05725904494079e-05,-5.8620736470711304e-05,176,-0.0002514458906817035,0.0036703623976093915,-0.5115055274317678,9.999000099990002e-05,-0.26653657620304344,9.999000099990002e-05
H5_gat_degraded,46,all,4005,315,2550,1.0,0.35802385229408074,-0.0008233474786319429,-0.0032667057744409666,3.8565333822080216e-06,-1.7703016055596673e-06,9.855986534955254e-06,176,1.1330694489019207e-05,0.002083178533396112,0.23648838028334393,0.9998000199980002,-0.012372336105652222,0.27987201279872015
H5_gat_degraded,46,no_op,827,41,638,0.20649188514357053,0.27427441122273866,9.901247373441368e-05,0.0007872708202377568,-6.539447321888181e-06,-1.0720449195741619e-05,-2.5661109483300305e-06,163,-3.7803150703170744e-05,0.0024245666242359645,0.23895180583607578,1.0,0.18793360393132183,0.998000199980002
H5_gat_degraded,46,dispatch,3178,274,1912,0.7935081148564295,0.3798176810436087,-0.0009613648437670546,-0.0038733227101410677,6.507492060852394e-06,-8.22616047816777e-07,1.4379228863154664e-05,176,2.3648842528330412e-05,0.002025383594525544,0.19056004892099698,0.9986001399860014,-0.0712413715411778,0.0017998200179982
