model,training_seed,evaluation_seed,episodes,mean_pickups,mean_reward,mean_final_pending_wait_s,zero_pickup_episodes,all_episodes_zero_pickups,checkpoint_sha256
B2_gat,42,42,3,8.0,49.476016234861106,864.609136987044,0,False,c6bbf25552293f595b16a075b902dfdfb797f7510ddcf8e7211f6a170bacf9a1
B2_gat,43,42,3,7.333333333333333,41.78284130110604,882.4289972899729,0,False,95cbb52b1e308647c82d4f5591fcba7934c99c2dbbd53750742456c9982640da
B2_gat,44,42,3,9.666666666666666,66.40035543302544,885.5583333333334,0,False,b45132afb88731400213c7db09b1971b471b8ff4053408a27aae886da45ec444
H5_gat_degraded,42,42,3,7.0,39.07033583895377,868.6478477342913,0,False,cc3907fb61aafae85a12433266cde90ce8e1694b45a377efd0460ec1b27a04c0
H5_gat_degraded,43,42,3,7.666666666666667,45.46082667345053,877.9825874608483,0,False,34f1069998c1aa8ff9903f282681097dcb4b81c01e37ae76e63ee747d05c6e64
H5_gat_degraded,44,42,3,10.0,70.02883194104125,886.756024317,0,False,396b8dc2c9da58e52b4be98e76f0b9e5e3158e2d1e219f1a4064088538672d92
