model,training_seed,evaluation_seeds,episodes,mean_completed_passenger_journeys,mean_reward
B1_mlp,42,8,48,12.5,97.46225268539575
B1_mlp,43,8,48,12.458333333333334,96.95921985844817
B1_mlp,44,8,48,12.458333333333332,96.94077206815254
B2_gat,42,8,48,12.5625,98.16279328175918
B2_gat,43,8,48,12.833333333333332,100.98832924764466
B2_gat,44,8,48,12.625,98.75329415395474
H5_gat_degraded,42,8,48,12.729166666666666,99.86389229880776
H5_gat_degraded,43,8,48,12.666666666666668,99.26465571864932
H5_gat_degraded,44,8,48,13.0,102.66765146000282
