model,training_seed,stratum,n_records,n_clean_records,n_stale_exposed_records,fraction_of_eligible_records,mean_selected_action_probability,clean_probability_def_mean,clean_margin_def_mean,paired_probability_def_delta,paired_probability_def_ci_low,paired_probability_def_ci_high,paired_probability_def_blocks,paired_margin_def_delta,stale_attention_shift,H1_rho,H1_p_episode,H4_mean_within_episode_rho,H4_p_one_sided
B2_gat,42,all,4008,312,2559,1.0,0.39518881274829665,-0.00017579012733494152,-0.0009440368566757602,8.523275165197123e-05,7.659449421572457e-05,9.420620192616185e-05,176,0.0004687791560647492,0.004121421134533037,0.6419334832542846,1.0,0.39316443011561025,1.0
B2_gat,42,no_op,652,41,468,0.1626746506986028,0.18084920148588032,6.998330354690552e-05,0.0004406808595347211,-2.274656672740266e-05,-2.6430758240228647e-05,-1.9033012246046583e-05,160,-0.00018446336954920775,0.003989953116593341,-0.2411528930947337,0.0007999200079992001,-0.15101477106675645,0.1830816918308169
B2_gat,42,dispatch,3356,271,2091,0.8373253493013972,0.4368304773916505,-0.00021297356152739807,-0.0011535328949216263,0.00010951677307111775,9.960660346267865e-05,0.00011996810292227708,176,0.0006142086412109474,0.0041568893136422645,0.6509490445957824,1.0,0.4849120016323018,1.0
B2_gat,43,all,4016,317,2541,1.0,0.34356569186172103,-0.00028895822859963653,-0.0014857146469827204,0.00012219076080959837,0.00010537712217619569,0.00014024991245284313,176,0.0004900770956003845,1.4387720306039894e-05,-0.07548406311867209,0.12038796120387961,0.11159791851867305,1.0
B2_gat,43,no_op,1036,64,752,0.25796812749003983,0.2983839939560554,-0.0005875767208635806,-0.002924509354246159,-4.204890763110223e-05,-9.751581333607674e-05,2.45281154406561e-05,168,-0.00011058934882024585,-4.648654956078642e-05,-0.44025837051578687,9.999000099990002e-05,-0.49502194392685595,9.999000099990002e-05
B2_gat,43,dispatch,2980,253,1789,0.7420318725099602,0.35927315462355647,-0.0002134183728490736,-0.0011217507684654867,0.00021463466936897424,0.00019585493303756136,0.0002334050550759124,176,0.0008485221438372815,5.11271933601353e-06,0.0911762430008073,0.9239076092390761,0.28812936624374696,1.0
B2_gat,44,all,4004,310,2565,1.0,0.3883039705161299,-5.538052608889916e-05,-0.00028771965734420395,0.00018887553575078304,0.00017780188348491546,0.00020036790191703708,176,0.000842344150239474,-0.0028007972281384663,0.8131440962772558,1.0,0.5177878637074733,1.0
B2_gat,44,no_op,691,40,512,0.1725774225774226,0.19305941996241444,3.832280635833736e-06,2.5346552332242298e-05,-0.00010927019710960508,-0.00011647427324658363,-0.0001016120040785859,160,-0.0007907854767279729,-0.002730319653239358,-0.5403568741809243,9.999000099990002e-05,-0.7359856945636971,0.0006999300069993001
B2_gat,44,dispatch,3313,270,2053,0.8274225774225774,0.42902657372549224,-6.415279375182256e-05,-0.0003340998365555293,0.0002659930161963428,0.00025359737401107004,0.0002784333234591902,176,0.0012580530468106527,-0.0028319809967885215,0.8131015700445129,1.0,0.7307950879866912,1.0
H5_gat_degraded,42,all,4002,317,2532,1.0,0.33223230200728915,-0.0001995285931821879,-0.0007135608987946388,8.552187322088862e-05,7.40296908061336e-05,9.744399170174485e-05,177,0.00026582115338087437,0.003599314205532749,0.552415763330451,1.0,0.2916664700248769,1.0
