model,training_seed,full_clean_def_mean,full_outage60_def_mean,full_h1_rho,full_h1_ci_low,full_h1_ci_high,full_h1_holm_p,full_paired_def_mean,full_paired_def_ci_low,full_paired_def_ci_high,full_h4_mean_rho,full_h4_holm_p,rounded4_clean_def_mean,rounded4_outage60_def_mean,rounded4_h1_rho,rounded4_h1_ci_low,rounded4_h1_ci_high,rounded4_h1_holm_p,rounded4_paired_def_mean,rounded4_paired_def_ci_low,rounded4_paired_def_ci_high,rounded4_h4_mean_rho,rounded4_h4_holm_p,h1_rho_direction_changed,paired_def_mean_direction_changed,h4_mean_rho_direction_changed,h1_verdict_changed,h2_verdict_changed,h3_verdict_changed,h4_verdict_changed
B2_gat,42,-0.00017579012733494152,-3.007998312426955e-05,0.18410575271796437,0.14579233765421204,0.2215189538461134,1.0,8.523275165197123e-05,7.633708230089215e-05,9.402005903270372e-05,0.39316443011561025,1.0,-0.00017564102564102563,-3.014318010550113e-05,0.19406841174271391,0.15696612406358104,0.23019052812855512,1.0,8.546683731581968e-05,7.652710403139076e-05,9.434910453052454e-05,0.4203734681316774,1.0,False,False,False,False,False,False,False
B2_gat,43,-0.00028895822859963653,-0.0002807907353680174,0.014504672531406082,-0.021795049348420602,0.054164938984287425,1.0,0.00012219076080959837,0.00010483468332556849,0.00014182141317427716,0.11159791851867305,1.0,-0.00028738170347003154,-0.00028033033033033033,0.013721949681648865,-0.02306436565608298,0.05403122394906782,1.0,0.00012079352937243867,0.00010351314623126006,0.00014075176242892202,0.11133641958433417,1.0,False,False,False,False,False,False,False
B2_gat,44,-5.538052608889916e-05,0.00016447158650042545,0.22611657414491282,0.18696001796034303,0.26398883316241184,1.0,0.00018887553575078304,0.0001771934119853712,0.00020077710808794522,0.5177878637074733,1.0,-5.612903225806451e-05,0.00016415662650602408,0.2260244984078929,0.186200913064513,0.26430997751592583,1.0,0.00018911077568110432,0.00017742172774233702,0.00020117640638996927,0.5285548338909507,1.0,False,False,False,False,False,False,False
H5_gat_degraded,42,-0.0001995285931821879,1.027726921023311e-05,0.16819980939397453,0.13326859878600764,0.20195568433970584,1.0,8.552187322088862e-05,7.390430881323231e-05,9.790962333884604e-05,0.2916664700248769,1.0,-0.00020094637223974765,1.1203633610900835e-05,0.17311018955400073,0.1368712850921885,0.20794612937441828,1.0,8.590504285226739e-05,7.429303060001075e-05,9.815790163770936e-05,0.2937405391344766,1.0,False,False,False,False,False,False,False
H5_gat_degraded,43,-0.0001514877188746438,6.134195584701125e-06,0.1119513875420507,0.07142290581403671,0.15295944246863274,1.0,0.0001596109634275404,0.00014886339974168856,0.00016988917478144935,0.2820947535855631,1.0,-0.0001518987341772152,7.4436090225563915e-06,0.11410167267999383,0.07309952306596004,0.15477743542312297,1.0,0.00015877941793839042,0.00014768110147196235,0.00016949011634525744,0.29394158459875486,1.0,False,False,False,False,False,False,False
H5_gat_degraded,44,-0.0003089156044895841,-0.00021432592989481503,0.020805055814491106,-0.013653572942100569,0.05457189194320006,1.0,5.1390482952058825e-05,4.5458291014393584e-05,5.7396038246566366e-05,0.09683574766086013,1.0,-0.0003097791798107256,-0.00021439336850037678,0.02282772259525845,-0.012584619597077826,0.057010662338601914,1.0,5.471415675085509e-05,4.908133470592909e-05,6.061658109905165e-05,0.09978363625705419,1.0,False,False,False,False,False,False,False
