model_id,model,training_seed,aggregation,mean_stale_attention_shift,n_stale_exposed_decisions
H5_gat_degraded,GAT-Outage,43,first_max,-0.0031779588755496357,37
H5_gat_degraded,GAT-Outage,43,first_mean,0.00036749749440550384,37
H5_gat_degraded,GAT-Outage,43,last_head_0,-0.0015080184806589138,37
H5_gat_degraded,GAT-Outage,43,last_head_1,-0.0008937754594344861,37
H5_gat_degraded,GAT-Outage,43,last_head_2,-0.001609500425934881,37
H5_gat_degraded,GAT-Outage,43,last_head_3,-0.004575869779178181,37
H5_gat_degraded,GAT-Outage,43,last_max,-0.004971297694230611,37
H5_gat_degraded,GAT-Outage,43,last_mean,-0.0021467896351640503,37
H5_gat_degraded,GAT-Outage,43,rollout_mean,-0.0004872910757012123,37
H5_gat_degraded,GAT-Outage,44,default_mean,-0.0037320237437345905,31
H5_gat_degraded,GAT-Outage,44,first_head_0,-0.008852722496663957,31
H5_gat_degraded,GAT-Outage,44,first_head_1,0.00356406883752668,31
H5_gat_degraded,GAT-Outage,44,first_head_2,-0.0014981946087823596,31
H5_gat_degraded,GAT-Outage,44,first_head_3,0.003993292502138884,31
H5_gat_degraded,GAT-Outage,44,first_max,-0.0036021362875253812,31
H5_gat_degraded,GAT-Outage,44,first_mean,-0.0006983898375203019,31
H5_gat_degraded,GAT-Outage,44,last_head_0,-0.00584928201961876,31
H5_gat_degraded,GAT-Outage,44,last_head_1,-0.0015384333483698493,31
H5_gat_degraded,GAT-Outage,44,last_head_2,-0.013480324549629106,31
H5_gat_degraded,GAT-Outage,44,last_head_3,-0.006194612929353529,31
H5_gat_degraded,GAT-Outage,44,last_max,-0.008773340420342505,31
H5_gat_degraded,GAT-Outage,44,last_mean,-0.0067656622836679645,31
H5_gat_degraded,GAT-Outage,44,rollout_mean,-0.0013498553419896517,31
H5_gat_degraded,GAT-Outage,45,default_mean,0.005272483441359134,32
H5_gat_degraded,GAT-Outage,45,first_head_0,0.013591097178916945,32
H5_gat_degraded,GAT-Outage,45,first_head_1,0.007948891801155438,32
H5_gat_degraded,GAT-Outage,45,first_head_2,-0.0012210513038980297,32
H5_gat_degraded,GAT-Outage,45,first_head_3,0.009618125816125624,32
H5_gat_degraded,GAT-Outage,45,first_max,0.009600958024376199,32
H5_gat_degraded,GAT-Outage,45,first_mean,0.007484264653734435,32
H5_gat_degraded,GAT-Outage,45,last_head_0,0.00028938630965692574,32
H5_gat_degraded,GAT-Outage,45,last_head_1,0.00203887096582209,32
H5_gat_degraded,GAT-Outage,45,last_head_2,0.006329231534035107,32
H5_gat_degraded,GAT-Outage,45,last_head_3,0.0035853332909147224,32
H5_gat_degraded,GAT-Outage,45,last_max,0.0006376987349993946,32
H5_gat_degraded,GAT-Outage,45,last_mean,0.003060703008370459,32
H5_gat_degraded,GAT-Outage,45,rollout_mean,0.0025054995418997287,32
H5_gat_degraded,GAT-Outage,46,default_mean,0.00281196124621448,32
H5_gat_degraded,GAT-Outage,46,first_head_0,-0.0017487480702528184,32
H5_gat_degraded,GAT-Outage,46,first_head_1,0.006451666538050382,32
H5_gat_degraded,GAT-Outage,46,first_head_2,-0.0022845773848124383,32
H5_gat_degraded,GAT-Outage,46,first_head_3,-0.0005623728105456933,32
H5_gat_degraded,GAT-Outage,46,first_max,-0.0020306959623502914,32
H5_gat_degraded,GAT-Outage,46,first_mean,0.0004639918672305235,32
H5_gat_degraded,GAT-Outage,46,last_head_0,0.0022037705677380426,32
H5_gat_degraded,GAT-Outage,46,last_head_1,0.009353953300137288,32
H5_gat_degraded,GAT-Outage,46,last_head_2,0.0047220433752980075,32
H5_gat_degraded,GAT-Outage,46,last_head_3,0.004359954955043108,32
H5_gat_degraded,GAT-Outage,46,last_max,0.005500908911245869,32
H5_gat_degraded,GAT-Outage,46,last_mean,0.005159931074098664,32
H5_gat_degraded,GAT-Outage,46,rollout_mean,0.001794290042484356,32
