model_id,model,condition,training_seed,field,mean,n_episode_blocks,n_decisions
B2_gat,GAT,clean,42,action_row_request_def_m,-0.0011513069802446027,9,99
B2_gat,GAT,clean,43,action_row_request_def_m,0.0006717177452199032,9,83
B2_gat,GAT,clean,44,action_row_request_def_m,-0.0004366479142706098,9,96
B2_gat,GAT,outage_60s,42,action_row_request_def_m,-0.001115652068891402,9,99
B2_gat,GAT,outage_60s,43,action_row_request_def_m,0.0005095261154575138,9,85
B2_gat,GAT,outage_60s,44,action_row_request_def_m,-0.00010923898077742297,9,95
H5_gat_degraded,GAT-Outage,clean,42,action_row_request_def_m,0.001550452646419958,9,75
H5_gat_degraded,GAT-Outage,clean,43,action_row_request_def_m,0.0011414951316329018,9,81
H5_gat_degraded,GAT-Outage,clean,44,action_row_request_def_m,-0.00168697909993563,9,79
H5_gat_degraded,GAT-Outage,outage_60s,42,action_row_request_def_m,0.0009052568643152943,9,75
H5_gat_degraded,GAT-Outage,outage_60s,43,action_row_request_def_m,0.0009474185426806545,9,83
H5_gat_degraded,GAT-Outage,outage_60s,44,action_row_request_def_m,-0.0015165425836457587,9,79
B2_gat,GAT,clean,42,action_row_request_gap_m,5.579422631893904e-05,9,99
B2_gat,GAT,clean,43,action_row_request_gap_m,0.002419828155609462,9,83
B2_gat,GAT,clean,44,action_row_request_gap_m,-2.2679907859042603e-06,9,96
B2_gat,GAT,outage_60s,42,action_row_request_gap_m,-0.00023294512516664474,9,99
B2_gat,GAT,outage_60s,43,action_row_request_gap_m,0.0022252651376312225,9,85
B2_gat,GAT,outage_60s,44,action_row_request_gap_m,7.638353471188057e-05,9,95
H5_gat_degraded,GAT-Outage,clean,42,action_row_request_gap_m,0.002437104638725457,9,75
H5_gat_degraded,GAT-Outage,clean,43,action_row_request_gap_m,0.002170180716879802,9,81
H5_gat_degraded,GAT-Outage,clean,44,action_row_request_gap_m,5.6873271017551895e-05,9,79
H5_gat_degraded,GAT-Outage,outage_60s,42,action_row_request_gap_m,0.0015255528819115712,9,75
H5_gat_degraded,GAT-Outage,outage_60s,43,action_row_request_gap_m,0.0017094178170815493,9,83
H5_gat_degraded,GAT-Outage,outage_60s,44,action_row_request_gap_m,9.213150217361663e-05,9,79
